,title,mean,rank,popularity,num_list_users,num_scoring_users,status,num_chapters,ranking.rank,rating,members,genres0
94,Glass no Kamen,8.42,167.0,1626,9249,2311,on_hiatus,0,167,7.52,4218,Drama
96,No.6,8.31,261.0,304,41877,15378,finished,35,261,7.76,168017,Action
99,Kimi no Na wa.,8.41,172.0,161,69069,26041,finished,9,172,9.37,200630,Drama
100,Bakuman.,8.41,175.0,45,153354,75178,finished,176,175,8.35,246899,Romance
102,Imawa no Kuni no Alice,8.41,179.0,244,49662,17095,finished,87,179,6.25,824,Action
103,Dragon Ball,8.4,181.0,60,128653,79391,finished,520,181,8.16,316102,Action
104,Kaichou wa Maid-sama!,8.4,183.0,48,143617,73500,finished,98,183,8.26,391628,Romance
108,Toaru Majutsu no Index,7.71,1461.0,1030,14033,4241,currently_publishing,0,1461,7.69,313114,Action
109,xxxHOLiC,8.38,195.0,153,72132,29993,finished,213,195,8.11,150872,Comedy
110,Cardcaptor Sakura,8.38,196.0,218,55372,28359,finished,50,196,8.18,181249,Adventure
111,SKET Dance,8.38,197.0,467,28168,10797,finished,288,197,8.36,101027,Comedy
113,Hadashi no Gen,8.38,198.0,1677,8952,2143,finished,54,198,7.92,16474,Drama
114,Shin Angyo Onshi,8.37,203.0,433,30725,9388,finished,76,203,7.0,13231,Action
115,Ookami Kodomo no Ame to Yuki,8.36,206.0,655,20845,8953,finished,16,206,8.84,226193,Fantasy
118,Durarara!!,7.88,931.0,577,23406,9382,finished,22,931,8.38,556431,Action
119,Lovely★Complex,8.35,212.0,222,54553,24656,finished,68,212,8.23,235003,Comedy
120,Nichijou,8.35,214.0,464,28282,8684,currently_publishing,0,214,8.52,254436,Comedy
121,Orange,8.35,216.0,59,129859,59279,finished,31,216,7.78,165358,Romance
124,Azumanga Daioh,8.34,218.0,293,42870,21376,finished,69,218,8.06,170901,Comedy
125,Touch,8.34,221.0,1417,10678,4354,finished,257,221,8.16,12833,Sports
126,Piano no Mori,8.34,222.0,1099,13284,4188,finished,242,222,7.87,24278,Drama
129,Mars,6.91,8499.0,14178,722,228,finished,28,8499,6.0,183,Action
130,Gin no Saji,8.33,238.0,389,34431,12775,finished,131,238,8.18,116261,Comedy
131,Angel Densetsu,8.32,245.0,253,47625,21575,finished,89,245,7.52,10795,Action
132,Black Jack,8.32,246.0,775,18057,5095,finished,243,246,7.88,14414,Drama
133,Blame!,8.31,250.0,74,110424,32081,finished,66,250,6.2,13802,Action
134,Hellsing,8.31,251.0,140,78167,37809,finished,92,251,7.64,308995,Action
136,Claymore,8.31,253.0,44,155142,69995,finished,159,253,7.92,316853,Action
138,Kodomo no Omocha,8.3,268.0,720,19317,9475,finished,54,268,7.24,3118,Romance
139,Petshop of Horrors,8.3,270.0,512,25827,8710,finished,41,270,7.41,32696,Comedy
140,Hachimitsu to Clover,8.3,271.0,681,20103,5645,finished,71,271,8.18,130646,Romance
142,D.Gray-man,8.29,283.0,55,136359,58003,currently_publishing,0,283,8.2,334399,Action
143,Saiyuuki Gaiden,8.29,284.0,1542,9680,2727,finished,35,284,8.01,5843,Action
144,Detective Conan,8.28,288.0,238,50886,25577,currently_publishing,0,288,8.25,114702,Adventure
146,Ansatsu Kyoushitsu,8.28,293.0,57,133543,65227,finished,187,293,7.28,35230,Action
147,Paradise Kiss,8.27,296.0,337,38972,16936,finished,48,296,7.93,86380,Romance
148,Hourou Musuko,8.27,297.0,532,25206,7884,finished,123,297,7.8,53426,Romance
149,Black Lagoon,8.27,298.0,298,42268,13197,currently_publishing,0,298,8.17,332562,Action
151,Saint Seiya: The Lost Canvas - Meiou Shinwa,8.27,299.0,1079,13480,6885,finished,223,299,8.24,40355,Action
152,Kimi ni Todoke,8.27,302.0,91,99883,38908,finished,125,302,8.19,309339,Romance
155,Toradora!,8.03,641.0,401,33472,10845,currently_publishing,0,641,8.45,633817,Romance
156,Kuragehime,8.27,307.0,390,34393,11243,finished,93,307,8.24,108053,Comedy
