,title,mean,rank,popularity,num_list_users,num_scoring_users,status,num_chapters,ranking.rank,rating,members,genres0
402,Love Hina,7.83,1054.0,180,61952,34508,finished,120,1054,7.28,156627,Comedy
404,Black Cat,7.83,1055.0,282,43863,20873,finished,187,1055,7.52,150512,Action
405,Hybrid Child,7.83,1056.0,1598,9369,4553,finished,5,1056,8.09,26036,Drama
406,Trinity Blood,7.83,1057.0,950,14988,4791,finished,89,1057,7.44,113791,Action
407,Saiunkoku Monogatari,7.83,1060.0,3018,5145,1372,finished,44,1060,8.06,50951,Fantasy
409,Tegamibachi,7.83,1061.0,587,23049,7822,finished,100,1061,7.76,70987,Adventure
410,Jormungand,7.83,1062.0,1323,11423,2774,finished,70,1062,7.96,137610,Action
411,Ushio to Tora,7.83,1066.0,2077,7367,2501,finished,313,1066,7.23,6086,Action
413,Hanbun no Tsuki ga Noboru Sora,7.12,6003.0,7164,1922,751,finished,14,6003,7.69,65125,Drama
414,Black Clover,7.82,1082.0,38,158702,77973,currently_publishing,0,1082,8.6,2247,Action
417,Densetsu no Yuusha no Densetsu,7.34,3728.0,4139,3660,871,finished,45,3728,7.83,130689,Action
419,Tokyo Ravens,7.49,2563.0,1996,7601,1822,finished,82,2563,7.8,171384,Romance
420,Shaman King,7.82,1088.0,170,65576,32839,finished,288,1088,7.83,169517,Action
422,Shinryaku! Ika Musume,7.82,1096.0,2359,6537,2177,finished,419,1096,7.6,95242,Comedy
423,Drifters,7.82,1097.0,412,32644,9986,currently_publishing,0,1097,7.93,102857,Action
424,Kamikaze Kaitou Jeanne,7.81,1100.0,773,18114,9890,finished,33,1100,7.52,31081,Adventure
425,Chobits,7.81,1101.0,186,61040,34163,finished,88,1101,7.57,266846,Comedy
427,Tsugumomo,7.81,1112.0,534,25120,6942,currently_publishing,0,1112,,1303,Action
429,Kamisama no Memochou,7.27,4353.0,6613,2130,409,finished,23,4353,7.7,130502,Romance
430,Owari no Seraph,7.8,1141.0,105,91147,32717,currently_publishing,0,1141,7.65,315630,Action
431,Ichigo 100%,7.8,1146.0,289,43154,19608,finished,167,1146,6.84,67310,Ecchi
432,Air Gear,7.8,1147.0,145,75513,37372,finished,358,1147,7.69,194611,Action
435,Seikai no Monshou,7.23,4804.0,13004,837,174,finished,41,4804,7.83,26379,Action
436,Medaka Box,7.8,1157.0,201,57418,24321,finished,194,1157,7.21,110042,Action
438,Yumekui Merry,7.8,1158.0,989,14414,4010,finished,142,1158,7.08,89183,Action
439,Midori no Hibi,7.79,1173.0,693,19898,10915,finished,86,1173,7.45,87938,Comedy
441,Zero no Tsukaima,7.33,3804.0,1404,10765,4233,finished,45,3804,7.62,346828,Ecchi
442,Amanchu!,7.79,1183.0,1781,8507,1834,finished,102,1183,7.45,40481,Comedy
443,Kobayashi ga Kawai sugite Tsurai!!,7.79,1189.0,1795,8423,2643,finished,76,1189,6.4,4251,Romance
445,Nejimaki Seirei Senki: Tenkyou no Alderamin,7.46,2774.0,2067,7407,2731,finished,32,2774,7.95,86475,Action
447,Oda Nobuna no Yabou,7.26,4486.0,6898,2016,360,finished,32,4486,7.7,133216,Comedy
448,Rozen Maiden,7.78,1219.0,900,15735,6321,finished,46,1219,7.57,128688,Supernatural
450,Magic Kaito,7.77,1253.0,2108,7279,2926,currently_publishing,0,1253,8.02,27274,Adventure
452,FLCL,7.28,4242.0,617,21915,11275,finished,15,4242,8.06,305165,Comedy
453,Karin,7.76,1259.0,418,32133,16920,finished,63,1259,7.33,106142,Comedy
454,Trigun,7.76,1261.0,477,27335,11767,finished,22,1261,8.32,283069,Action
455,Nazo no Kanojo X,7.76,1265.0,354,37293,17693,finished,96,1265,7.4,99788,Ecchi
456,Break Blade,7.76,1268.0,782,17845,6117,currently_publishing,0,1268,7.43,46601,Action
457,Hime-chan no Ribbon,7.76,1269.0,9554,1314,468,finished,45,1269,7.54,3589,Fantasy
458,Heart no Kuni no Alice: Wonderful Wonder World,7.76,1271.0,474,27591,12835,finished,36,1271,6.26,20532,Fantasy
459,K-On!,7.76,1272.0,435,30680,14654,finished,57,1272,7.87,386048,Comedy
460,Sidonia no Kishi,7.76,1275.0,500,26367,9184,finished,78,1275,7.87,118341,Action
461,Makai Ouji: Devils and Realist,7.76,1278.0,969,14705,3977,finished,96,1278,7.2,59819,Comedy
463,Nanbaka,7.76,1288.0,2382,6463,1440,currently_publishing,0,1288,7.19,57325,Action
464,Gabriel DropOut,7.76,1290.0,1140,12888,3415,currently_publishing,0,1290,,4139,Supernatural
465,Thermae Romae,7.76,1291.0,2635,5866,1982,finished,38,1291,7.13,13444,Comedy
466,Sakamoto desu ga?,7.76,1296.0,447,30085,12572,finished,27,1296,7.67,171452,Comedy
468,Puchimas!: Petit iDOLM@STER,7.75,1302.0,10393,1174,317,currently_publishing,0,1302,7.26,9208,Comedy
469,Terra e...,7.75,1312.0,4319,3483,1070,finished,28,1312,6.63,4807,Adventure
470,Nana to Kaoru,7.75,1314.0,278,44205,17926,finished,160,1314,5.79,12919,Ecchi
471,Whistle!,7.74,1339.0,3027,5127,2407,finished,216,1339,7.53,8040,Sports
472,Peace Maker Kurogane,7.74,1340.0,3195,4842,1460,currently_publishing,0,1340,7.43,35123,Action
474,Daa! Daa! Daa!,7.74,1345.0,3717,4096,2141,finished,47,1345,7.81,12673,Comedy
476,Maria-sama ga Miteru,7.64,1762.0,6160,2312,734,finished,48,1762,7.48,33989,Drama
478,Chrome Shelled Regios,7.07,6572.0,6037,2367,701,finished,20,6573,7.57,103615,Action
479,Zekkyou Gakkyuu,7.74,1355.0,1535,9731,2554,finished,81,1355,5.5,1651,Supernatural
481,Kiniro Mosaic,7.74,1360.0,4709,3159,585,finished,148,1360,7.41,78131,Comedy
482,Tonari no Seki-kun,7.74,1361.0,823,17071,5293,currently_publishing,0,1361,7.69,82568,Comedy
483,Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,7.74,1362.0,250,47865,16653,currently_publishing,0,1362,7.29,257925,Comedy
484,Nisekoi,7.74,1363.0,30,177193,100947,finished,229,1363,7.91,347599,Comedy
485,Kono Bijutsubu ni wa Mondai ga Aru!,7.74,1365.0,700,19718,5420,currently_publishing,0,1365,7.5,69088,Romance
486,Kotonoha no Niwa,7.74,1366.0,1428,10615,4884,finished,7,1366,8.35,189741,Drama
487,Demi-chan wa Kataritai,7.74,1375.0,659,20733,5134,currently_publishing,0,1375,,6252,Fantasy
488,Urara Meirochou,7.74,1379.0,3937,3854,710,finished,69,1379,,4305,Fantasy
489,Piece,7.73,1381.0,3910,3884,1180,finished,21,1381,6.22,1143,Drama
491,Accel World,7.29,4168.0,1367,11094,3667,finished,45,4168,7.62,324284,Action
492,Bleach,7.73,1390.0,12,311208,191927,finished,705,1390,7.95,624055,Action
494,Shugo Chara!,7.73,1392.0,377,35253,18248,finished,55,1392,7.61,121108,Comedy
495,Rekka no Honoo,7.73,1393.0,1073,13518,6358,finished,330,1393,7.44,35258,Action
496,Urusei Yatsura,7.73,1395.0,1831,8249,2368,finished,366,1395,7.78,23020,Comedy
497,RG Veda,7.73,1396.0,1785,8498,3494,finished,16,1396,6.28,5070,Adventure
498,Tekken Chinmi,7.73,1397.0,8631,1515,629,finished,162,1397,7.43,1833,Adventure
499,Suzumiya Haruhi no Yuuutsu,7.73,1399.0,888,15874,5854,finished,105,1399,8.06,428569,Supernatural
500,Suzumiya Haruhi no Yuuutsu,7.66,1668.0,4131,3666,1304,finished,8,1668,8.06,428569,Comedy
503,Suzumiya Haruhi-chan no Yuuutsu,7.73,1406.0,4460,3353,994,finished,164,1406,7.63,70416,Comedy
505,Hidan no Aria,7.31,3987.0,1715,8760,2614,currently_publishing,0,3987,7.13,171888,Action
507,Mirai Nikki,7.72,1439.0,96,96803,51432,finished,59,1439,7.51,114217,Action
509,Master Keaton,7.72,1440.0,2480,6194,1067,finished,144,1440,7.76,9610,Adventure
511,Rokudenashi Blues,7.72,1446.0,2205,6957,1226,finished,422,1446,6.62,465,Action
512,Samurai Deeper Kyou,7.71,1453.0,596,22660,10256,finished,308,1453,7.02,38580,Action
513,Dance in the Vampire Bund,7.71,1460.0,518,25553,10466,finished,82,1460,7.2,121005,Action
515,Grappler Baki,7.71,1465.0,801,17445,7345,finished,371,1465,6.95,4557,Action
516,Kishibe Rohan wa Ugokanai,7.71,1469.0,1414,10701,4531,currently_publishing,0,1469,,2607,Supernatural
517,Chichi to Ko,7.71,1471.0,4623,3227,735,finished,123,1471,6.0,45,Comedy
521,Machine-Doll wa Kizutsukanai,7.62,1860.0,975,14616,4381,currently_publishing,0,1860,7.39,136751,Action
523,Dr. Slump,7.7,1501.0,1107,13198,5562,finished,236,1501,7.11,8735,Comedy
524,Kyoushoku Soukou Guyver,7.7,1503.0,4758,3135,812,on_hiatus,201,1503,6.49,3185,Action
527,Hakushaku to Yousei,7.47,2721.0,1256,11944,4470,finished,16,2721,7.47,63915,Fantasy
528,Kekkai Sensen,7.7,1515.0,1182,12579,2216,finished,33,1515,7.74,220573,Action
530,Summer Wars,7.7,1518.0,2009,7565,3582,finished,13,1518,8.3,223359,Comedy
532,Hiyokoi,7.7,1520.0,231,52253,19208,finished,67,1520,7.53,51072,Romance
533,Kuro,7.7,1524.0,1077,13486,5267,finished,22,1524,5.28,74,Supernatural
534,Pumpkin Scissors,7.69,1534.0,3600,4231,1021,currently_publishing,0,1534,7.25,23931,Action
535,Video Girl Ai,7.69,1535.0,1083,13437,6234,finished,131,1535,7.31,13970,Ecchi
536,Working!!,7.69,1541.0,1591,9406,2720,finished,281,1541,7.82,189367,Comedy
538,Sankarea,7.69,1549.0,148,73869,34983,finished,59,1549,7.53,222657,Comedy
539,Denpa Kyoushi,7.69,1552.0,441,30343,10620,finished,247,1552,6.45,5010,Romance
540,Monster Musume no Iru Nichijou,7.69,1553.0,159,69377,26351,currently_publishing,0,1553,7.39,181845,Ecchi
542,Black Bullet,7.22,4942.0,997,14372,5246,finished,20,4942,7.44,320267,Action
543,Arslan Senki,7.69,1559.0,772,18118,4261,currently_publishing,0,1559,7.03,10953,Action
545,Arslan Senki,7.31,4042.0,11032,1072,186,finished,0,4042,7.03,10953,Action
546,Acchi Kocchi,7.68,1578.0,2049,7452,1578,currently_publishing,0,1578,7.59,3433,Romance
548,Loveless,7.68,1589.0,502,26297,10893,currently_publishing,0,1589,7.19,85554,Fantasy
550,Souten no Ken,7.68,1593.0,3136,4942,1651,finished,260,1593,6.89,4160,Action
551,Kusatta Kyoushi no Houteishiki,7.68,1596.0,7850,1715,786,finished,47,1596,6.26,2649,Comedy
552,Mononoke,7.68,1599.0,2416,6370,2091,finished,19,1599,8.49,88850,Fantasy
553,Zettai Karen Children,7.68,1600.0,1998,7595,2270,finished,622,1600,7.47,25876,Action
557,Keroro Gunsou,7.67,1648.0,2246,6828,3090,currently_publishing,0,1648,7.93,31632,Comedy
558,Zetman,7.67,1653.0,393,33984,11914,finished,226,1653,7.01,65633,Action
559,Zetman,6.33,13812.0,5690,2534,1146,finished,4,13812,7.01,65633,Action
560,"Kyou, Koi wo Hajimemasu",7.67,1656.0,272,45197,22253,finished,100,1656,6.62,20953,Drama
561,Nyan Koi!,7.67,1663.0,1645,9144,2771,on_hiatus,35,1663,7.39,142264,Comedy
563,Blood+,7.58,2073.0,1215,12300,5276,finished,20,2073,7.8,208321,Action
565,Seitokai no Ichizon,7.37,3523.0,5904,2421,553,finished,45,3523,7.52,110470,Ecchi
566,Handa-kun,7.66,1680.0,979,14589,4798,finished,34,1680,7.46,69621,Comedy
567,Buddy Go!,7.66,1693.0,3140,4939,1636,finished,58,1693,6.42,1415,Romance
569,Bakemono no Ko,7.57,2120.0,5762,2494,721,finished,20,2120,8.58,80825,Adventure
570,Hoozuki no Reitetsu,7.66,1709.0,3326,4626,688,finished,277,1709,7.84,47619,Fantasy
571,Akachan to Boku,7.65,1722.0,6446,2197,819,finished,108,1722,8.02,8353,Comedy
572,Fushigi Yuugi,7.65,1723.0,638,21225,10229,finished,106,1723,7.77,61622,Action
573,Rosario to Vampire,7.65,1727.0,115,85580,46402,finished,40,1727,7.14,299278,Action
575,Toriko,7.65,1732.0,313,41022,20665,finished,396,1732,7.74,54790,Action
578,Masamune-kun no Revenge,7.31,4040.0,119,84326,42402,finished,61,4040,,20776,Comedy
579,Amatsuki,7.64,1763.0,1377,11016,2835,finished,158,1763,7.04,41920,Action
581,Clockwork Planet,7.39,3353.0,1522,9859,2905,finished,51,3353,,3999,Fantasy
582,Danchigai,7.64,1796.0,3353,4582,1280,currently_publishing,0,1796,6.64,37913,Comedy
584,Amagi Brilliant Park,7.26,4497.0,3015,5146,1418,finished,32,4497,7.68,217003,Fantasy
585,Love Lab,7.63,1803.0,3481,4380,774,finished,197,1803,7.49,79493,Romance
586,Isekai Shokudou,7.63,1807.0,4549,3281,1055,finished,29,1807,,749,Comedy
588,GetBackers,7.63,1809.0,1125,13056,5183,finished,344,1809,7.73,73536,Action
590,Shinigami no Ballad.,7.54,2270.0,6501,2177,752,finished,12,2271,7.05,32297,Supernatural
591,Needless,7.63,1821.0,1772,8545,3275,finished,114,1821,7.44,86942,Action
592,GA: Geijutsuka Art Design Class,7.63,1825.0,8412,1569,388,finished,98,1825,7.23,12825,Comedy
594,Ore no Imouto ga Konnani Kawaii Wake ga Nai,7.05,6874.0,1234,12134,5327,finished,26,6874,7.49,321477,Ecchi
595,Shakunetsu no Takkyuu Musume,7.62,1850.0,10591,1138,247,finished,32,1850,6.89,14465,Sports
598,Heavy Object,6.92,8464.0,6360,2232,967,finished,5,8464,7.41,68382,Action
599,Nagareboshi Lens,7.62,1862.0,1766,8558,2425,finished,56,1862,6.79,12437,Romance
600,Plastic Neesan,7.62,1863.0,2481,6193,1396,currently_publishing,0,1863,7.41,83977,Comedy
601,Servamp,7.62,1865.0,938,15159,4222,currently_publishing,0,1865,7.12,73126,Action
602,Yu☆Gi☆Oh!,7.61,1882.0,414,32213,16413,finished,343,1882,7.29,89243,Action
604,Mahou Shoujo Lyrical Nanoha ViVid,7.61,1901.0,4551,3280,1152,finished,104,1901,6.81,11952,Action
605,Blood Lad,7.61,1930.0,196,59409,22180,finished,85,1930,7.55,241513,Action
607,Gugure! Kokkuri-san,7.61,1932.0,3850,3941,861,finished,115,1932,7.69,87824,Supernatural
608,The iDOLM@STER,7.61,1937.0,10470,1160,263,finished,42,1937,7.75,81155,Comedy
610,Taimadou Gakuen 35 Shiken Shoutai,6.72,10706.0,3989,3796,1478,finished,16,10706,7.05,99133,Action
611,Taimadou Gakuen 35 Shiken Shoutai,6.7,10914.0,5408,2693,514,finished,12,10914,7.05,99133,Action
613,Gakusen Toshi Asterisk,7.02,7306.0,2237,6848,1862,finished,37,7307,7.14,168657,Action
614,Marmalade Boy,7.6,1960.0,875,16085,8237,finished,40,1960,7.64,24745,Comedy
615,Magic Knight Rayearth,7.6,1961.0,791,17679,9485,finished,15,1961,7.53,34141,Comedy
616,Highschool of the Dead,7.6,1962.0,131,81246,38049,discontinued,33,1962,7.46,535892,Action
617,Minami-ke,7.6,1966.0,2482,6192,1701,currently_publishing,0,1966,7.81,105471,Comedy
618,Hyakko,7.6,1972.0,7347,1866,509,currently_publishing,0,1972,7.34,33112,Comedy
619,Otome Youkai Zakuro,7.6,1973.0,2621,5901,1517,currently_publishing,0,1973,7.6,61957,Fantasy
620,Sunabouzu,7.6,1975.0,3116,4979,1043,finished,139,1975,7.55,65516,Action
622,Fairy Tail,7.59,2003.0,17,250018,147448,finished,549,2003,8.22,584590,Action
624,Death March kara Hajimaru Isekai Kyousoukyoku,7.11,6162.0,526,25395,8386,currently_publishing,0,6163,,240,Fantasy
625,Zipang,7.59,1999.0,5659,2554,602,finished,422,1999,7.56,8630,Action
626,Gravitation,7.59,2001.0,1061,13644,7205,finished,54,2001,7.26,67916,Romance
627,Itazura na Kiss,7.59,2010.0,1672,8984,3241,finished,100,2010,7.76,136279,Romance
628,Boku wa Tomodachi ga Sukunai,7.59,2020.0,629,21471,6073,finished,109,2020,7.57,325664,Romance
630,Mikakunin de Shinkoukei,7.59,2021.0,1970,7668,1377,currently_publishing,0,2021,7.59,133385,Romance
632,Papa no Iukoto wo Kikinasai!,7.45,2819.0,2560,6016,2803,finished,15,2819,7.51,97674,Ecchi
634,Strike the Blood,7.28,4333.0,2373,6500,1547,finished,54,4333,7.44,231387,Action
635,Servant x Service,7.59,2034.0,3031,5124,1155,finished,78,2034,7.79,81037,Comedy
636,Orenchi no Furo Jijou,7.59,2035.0,2897,5386,1301,finished,114,2035,7.15,47157,Fantasy
639,Dimension W,7.58,2061.0,1170,12662,3052,finished,116,2061,7.36,130028,Action
640,Nanatsu no Taizai,7.58,2063.0,37,162725,82677,finished,364,2063,8.42,331627,Action
641,Osomatsu-san,7.58,2066.0,8264,1606,335,currently_publishing,0,2066,8.27,60988,Comedy
642,Ayashi no Ceres,7.58,2069.0,1105,13200,6621,finished,83,2069,7.38,38336,Fantasy
643,Aa! Megami-sama!,7.58,2070.0,899,15751,6405,finished,308,2070,7.41,34590,Fantasy
644,Yakitate!! Japan,7.58,2071.0,1282,11684,5688,finished,242,2071,8.05,50876,Comedy
645,Golgo 13,7.58,2076.0,3494,4365,627,currently_publishing,0,2076,6.93,6344,Action
646,Haikara-san ga Tooru,7.58,2078.0,9948,1243,196,finished,0,2078,7.39,1155,Romance
647,Yozakura Quartet,7.58,2080.0,1267,11866,2289,currently_publishing,0,2080,6.96,68023,Action
649,Mitsudomoe,7.58,2095.0,4868,3051,729,finished,349,2095,7.73,56483,Comedy
650,Btooom!,7.57,2121.0,150,72732,29075,finished,125,2121,7.68,329561,Action
652,Haiyore! Nyaruko-san,6.79,9883.0,10022,1232,146,finished,11,9883,7.25,154595,Action
653,Princess Princess,7.57,2135.0,2125,7239,3292,finished,25,2135,7.16,38778,Comedy
654,Sugar Sugar Rune,7.57,2137.0,1569,9530,4562,finished,46,2137,7.56,16484,Fantasy
655,Monochrome Factor,7.57,2138.0,2630,5877,2111,finished,65,2138,7.13,36517,Action
656,Kinnikuman,7.57,2145.0,4521,3306,888,currently_publishing,0,2145,7.35,3623,Action
657,Sekirei,7.56,2164.0,417,32169,13604,finished,213,2164,7.4,182713,Action
658,Saint Seiya,7.56,2165.0,894,15809,7856,finished,110,2165,8.03,70559,Action
659,Nagasarete Airantou,7.56,2166.0,1826,8265,2911,currently_publishing,0,2166,7.43,52817,Ecchi
660,Eat-Man,7.56,2167.0,4798,3098,836,finished,101,2167,6.7,4041,Action
661,Nagato Yuki-chan no Shoushitsu,7.56,2172.0,1947,7727,2767,finished,79,2172,6.77,62601,Romance
662,Watashi ga Motete Dousunda,7.56,2174.0,270,45352,16991,finished,60,2174,7.64,57638,Romance
663,UQ Holder!,7.56,2175.0,262,45981,14386,currently_publishing,0,2175,,2341,Action
664,Ookami Shoujo to Kuro Ouji,7.56,2208.0,229,52685,22491,finished,67,2208,7.47,145439,Comedy
665,Isshuukan Friends.,7.56,2211.0,828,16984,6266,finished,41,2211,7.7,139601,Comedy
666,Sakura Trick,7.56,2214.0,1801,8375,2216,finished,84,2214,7.2,108011,Comedy
667,Fukumenkei Noise,7.55,2222.0,1093,13343,3559,finished,109,2222,,2127,Romance
669,Ibara no Ou,7.55,2228.0,929,15269,6849,finished,37,2228,7.24,38670,Action
670,Fate/stay night,7.55,2229.0,872,16136,5775,finished,87,2229,7.58,374880,Action
671,Yume de Aetara,7.55,2230.0,3319,4636,1811,finished,143,2230,6.66,2703,Comedy
672,Kimagure Orange☆Road,7.55,2231.0,2743,5657,1922,finished,156,2231,7.7,16012,Romance
673,Tokimeki Tonight,7.55,2232.0,9407,1345,376,finished,0,2232,7.48,3057,Romance
674,Seto no Hanayome,7.54,2263.0,1978,7646,2055,finished,79,2264,7.95,165008,Ecchi
677,Strawberry Panic,7.09,6337.0,2193,6992,3301,finished,14,6337,7.45,72790,Drama
678,Patalliro!,7.54,2278.0,12862,850,164,currently_publishing,0,2279,7.63,2409,Adventure
679,Days,7.54,2310.0,2148,7156,2198,finished,376,2311,6.83,2907,Sports
680,Major 2nd,7.54,2316.0,6533,2164,581,currently_publishing,0,2316,6.65,458,Sports
681,Oshiete! Galko-chan,7.53,2324.0,2748,5647,1033,currently_publishing,0,2324,7.15,45778,Comedy
682,Prison School,7.53,2330.0,70,114615,52111,finished,278,2330,8.03,227734,Comedy
684,Hellsing: The Dawn,7.53,2355.0,1434,10562,4248,finished,6,2355,7.37,40548,Action
686,Moyashimon,7.53,2360.0,3667,4158,950,finished,159,2360,7.69,44465,Comedy
688,Zero kara Hajimeru Mahou no Sho,7.16,5559.0,6086,2347,466,finished,28,5559,,7716,Fantasy
689,Kamichama Karin,7.52,2411.0,1330,11372,5681,finished,32,2411,7.51,30747,Fantasy
690,3x3 Eyes,7.52,2415.0,2106,7287,2273,finished,577,2415,6.97,15683,Action
691,Happy World!,7.52,2419.0,3549,4300,2080,finished,72,2419,6.11,4348,Comedy
692,Wangan Midnight,7.52,2427.0,7033,1965,360,finished,0,2427,7.54,10058,Action
693,Erementar Gerad,7.51,2434.0,1778,8520,3597,finished,96,2434,7.44,63193,Action
694,To LOVE-Ru,7.51,2435.0,185,61149,33308,finished,162,2435,7.34,237563,Comedy
695,Kure-nai,7.51,2441.0,1292,11637,3938,finished,55,2441,7.52,59099,Action
698,Hentai Ouji to Warawanai Neko.,7.43,2967.0,1040,13935,4355,finished,52,2967,7.46,201735,Ecchi
699,Denki-gai no Honya-san,7.51,2483.0,1894,7969,1473,finished,107,2483,7.28,61228,Comedy
700,A-Channel,7.5,2486.0,3421,4485,1166,finished,170,2486,7.06,58564,Comedy
701,Guilty Crown,7.5,2491.0,2559,6017,1252,finished,26,2491,7.81,460959,Action
702,Nobunaga Concerto,7.5,2493.0,6657,2113,436,currently_publishing,0,2493,7.79,25167,Romance
703,Area no Kishi,7.5,2511.0,1770,8552,3146,finished,503,2511,7.38,38310,Comedy
704,Kaibutsu Oujo,7.49,2537.0,1075,13514,5067,finished,87,2537,7.16,44825,Action
705,Ginga Densetsu Weed,7.49,2546.0,6796,2056,844,finished,500,2546,7.31,7484,Drama
706,Code:Breaker,7.49,2548.0,336,39128,17225,finished,230,2548,7.03,135255,Action
707,Yuyushiki,7.49,2574.0,6119,2332,436,currently_publishing,0,2574,7.45,50351,Comedy
709,Shinmai Maou no Testament,7.21,4967.0,918,15416,4813,finished,46,4967,7.11,172321,Action
711,Saijaku Muhai no Bahamut,7.08,6515.0,2467,6230,1495,finished,46,6517,6.87,94430,Action
714,Pyuu to Fuku! Jaguar,7.48,2630.0,6977,1985,469,finished,438,2630,6.78,312,Comedy
715,Togainu no Chi,7.48,2635.0,5705,2526,625,finished,4,2635,6.42,53377,Action
716,Togainu no Chi,7.48,2642.0,3578,4268,890,on_hiatus,0,2642,6.42,53377,Action
719,Tokyo ESP,7.47,2691.0,748,18545,5661,finished,77,2691,6.64,95168,Action
720,Vampire Knight,7.47,2703.0,108,90425,48428,finished,102,2703,7.4,286826,Romance
721,Jigoku Sensei Nube,7.47,2705.0,4876,3045,918,finished,279,2705,7.65,8908,Supernatural
722,Bobobo-bo Bo-bobo,7.47,2707.0,1736,8660,2676,finished,230,2707,7.54,39041,Adventure
723,Angel Heart,7.47,2708.0,5047,2920,1027,finished,363,2708,7.38,9550,Action
725,Honoo no Mirage,6.91,8525.0,17907,474,108,finished,16,8525,6.74,12835,Supernatural
727,Boyfriend,7.47,2725.0,1885,8000,4205,finished,11,2725,5.68,243,Drama
728,Boyfriend,7.31,3967.0,10375,1177,259,finished,0,3967,5.68,243,Drama
730,Ultra Maniac,7.46,2734.0,1448,10430,5644,finished,25,2734,7.3,20062,Comedy
731,Level E,7.46,2736.0,2243,6834,2554,finished,16,2736,7.58,55252,Comedy
732,Koi Kaze,7.46,2738.0,2093,7321,3284,finished,35,2738,7.34,41250,Romance
733,Chibi Maruko-chan,7.46,2764.0,16163,577,189,finished,120,2764,7.86,4739,Comedy
735,Atom: The Beginning,7.46,2776.0,7278,1888,320,currently_publishing,0,2776,,931,Action
739,Dantalian no Shoka,7.36,3584.0,4299,3502,1040,finished,30,3583,7.34,84779,Action
740,Sugar*Soldier,7.45,2820.0,1762,8582,2631,finished,61,2820,5.87,6738,Romance
742,Wish,7.45,2837.0,1174,12649,6847,finished,26,2837,6.74,5321,Fantasy
743,Cipher,7.45,2843.0,6108,2339,545,finished,65,2843,5.15,2535,Romance
744,Yawara!,7.45,2845.0,3233,4768,788,finished,331,2845,7.63,6437,Sports
745,Captain Tsubasa: Road to 2002,7.45,2848.0,7032,1965,1093,finished,145,2848,7.45,19746,Sports
746,Fate/kaleid liner Prisma☆Illya 2wei!,7.45,2870.0,1934,7768,3919,finished,31,2870,7.47,56859,Action
748,Guin Saga,7.11,6110.0,9546,1315,420,finished,0,6111,7.29,26176,Action
749,Tsubasa to Hotaru,7.45,2878.0,1224,12220,3391,finished,55,2878,7.09,6651,Romance
751,Kokoro ga Sakebitagatterunda.,7.44,2887.0,6724,2086,293,finished,28,2887,8.32,59652,Romance
752,Cyborg 009,7.44,2904.0,5344,2725,579,finished,0,2904,6.35,1216,Action
754,Crash!,7.44,2909.0,2221,6887,2393,finished,73,2909,5.7,1015,Comedy
755,Natsuyuki Rendezvous,7.44,2919.0,3948,3841,997,finished,24,2919,7.36,40958,Romance
756,Chocolat no Mahou,7.44,2925.0,7636,1779,657,currently_publishing,0,2925,6.37,3800,Supernatural
757,Romantica Clock,7.44,2929.0,1854,8137,2124,finished,53,2929,5.83,8491,Comedy
758,Fuuka,7.44,2944.0,290,42994,18470,finished,204,2944,,9854,Ecchi
760,Masou Gakuen HxH,6.43,13311.0,5916,2415,439,finished,28,13311,6.42,68025,Action
762,Gamers!,6.89,8729.0,3573,4274,744,finished,34,8729,,1045,Romance
763,"Yondemasu yo, Azazel-san.",7.43,2965.0,5796,2474,523,finished,162,2965,7.7,18400,Action
765,D.N.Angel,7.43,2988.0,480,27305,12814,finished,108,2988,7.35,126914,Fantasy
766,Omamori Himari,7.43,2996.0,725,19148,7811,finished,75,2996,7.19,119572,Action
768,Tetsuwan Birdy,7.43,3001.0,4986,2972,642,finished,218,3001,7.22,13855,Action
769,Tetsuwan Birdy,6.72,10670.0,9166,1390,271,finished,10,10670,7.22,13855,Action
770,Coppelion,7.43,3007.0,1904,7915,1867,finished,226,3007,6.56,76291,Action
771,Cuticle Tantei Inaba,7.43,3009.0,6024,2370,439,finished,127,3009,7.45,50019,Action
772,Yuuki Yuuna wa Yuusha de Aru,7.42,3056.0,5602,2587,554,finished,30,3056,7.52,59192,Fantasy
773,Captain Tsubasa,7.42,3079.0,2884,5400,2571,finished,114,3079,7.35,36623,Action
774,Hanamaru Youchien,7.42,3088.0,4836,3070,896,finished,102,3088,7.45,40243,Comedy
775,Samurai Champloo,7.41,3100.0,1214,12303,5703,finished,10,3100,8.5,390076,Action
777,Tales of the Abyss,7.41,3105.0,5525,2627,728,finished,53,3105,7.47,74901,Action
778,Kiss x Sis,7.41,3106.0,339,38893,15887,finished,156,3106,7.33,125614,Comedy
779,Hidamari no Ki,7.41,3120.0,13603,777,147,finished,62,3120,6.27,608,Action
781,Denpa Onna to Seishun Otoko,7.19,5225.0,5585,2593,525,finished,31,5225,7.33,149497,Comedy
782,Himouto! Umaru-chan,7.4,3185.0,808,17356,5462,finished,229,3185,7.55,158041,Comedy
783,Shuffle!,7.4,3214.0,6366,2230,548,finished,36,3214,7.31,158772,Comedy
784,Over Drive,7.4,3216.0,4100,3694,1073,finished,150,3216,7.78,28007,Sports
785,Kannagi,7.4,3217.0,1851,8163,2409,finished,84,3217,7.43,94202,Action
786,Outlanders,7.4,3223.0,7658,1771,617,finished,33,3223,6.2,2655,Action
